place,username,mark
muzey_lego_brick_star/184152802971/,Наталия,5
muzey_lego_brick_star/184152802971/,Анастасия Галкина,5
muzey_lego_brick_star/184152802971/,Анастасия,5
muzey_lego_brick_star/184152802971/,Анна К.,5
muzey_lego_brick_star/184152802971/,Юлия,5
muzey_lego_brick_star/184152802971/,Alexey Pavlunin,5
muzey_lego_brick_star/184152802971/,Игорь Савин,5
muzey_lego_brick_star/184152802971/,Надежда Новикова,5
muzey_lego_brick_star/184152802971/,Ice Shark,5
muzey_lego_brick_star/184152802971/,Макс П.,5
muzey_lego_brick_star/184152802971/,Irina Milotvorskaya,5
muzey_lego_brick_star/184152802971/,Алёна Сергеевна,5
muzey_lego_brick_star/184152802971/,Владимир Л.,5
muzey_lego_brick_star/184152802971/,Дмитрий,5
muzey_lego_brick_star/184152802971/,Татьяна Б.,5
muzey_lego_brick_star/184152802971/,Алина Л.,5
muzey_lego_brick_star/184152802971/,Дмитрий,5
muzey_lego_brick_star/184152802971/,Наталья,5
muzey_lego_brick_star/184152802971/,Наиль Сяинов,5
muzey_lego_brick_star/184152802971/,Lela Larina,5
muzey_lego_brick_star/184152802971/,Anna,5
muzey_lego_brick_star/184152802971/,Татьяна Л.,3
muzey_lego_brick_star/184152802971/,Артем Д.,5
muzey_lego_brick_star/184152802971/,Branko K.,5
muzey_lego_brick_star/184152802971/,Андрей М,5
muzey_lego_brick_star/184152802971/,Ксения С.,5
muzey_lego_brick_star/184152802971/,Ирина А.,5
muzey_lego_brick_star/184152802971/,Галина Тронина,5
muzey_lego_brick_star/184152802971/,Anna B.,5
muzey_lego_brick_star/184152802971/,Carol Stanley,4
muzey_lego_brick_star/184152802971/,T,5
muzey_lego_brick_star/184152802971/,Ольга Леонова,5
muzey_lego_brick_star/184152802971/,Макс Малюта,5
muzey_lego_brick_star/184152802971/,Ульяна М.,5
muzey_lego_brick_star/184152802971/,Иван Клинков,5
muzey_lego_brick_star/184152802971/,Михаил З.,5
muzey_lego_brick_star/184152802971/,Нина К.,5
muzey_lego_brick_star/184152802971/,Татьяна Горина,5
muzey_lego_brick_star/184152802971/,Лидия,5
muzey_lego_brick_star/184152802971/,Катерина Игнатьева,5
muzey_lego_brick_star/184152802971/,Елизавета,5
muzey_lego_brick_star/184152802971/,Маргарита Богачева,5
muzey_lego_brick_star/184152802971/,юлия степнова,5
muzey_lego_brick_star/184152802971/,Лейсан,5
muzey_lego_brick_star/184152802971/,Марина Плотникова,5
muzey_lego_brick_star/184152802971/,Иван Апрелев,5
muzey_lego_brick_star/184152802971/,Мария Я.,5
muzey_lego_brick_star/184152802971/,Мария,5
muzey_lego_brick_star/184152802971/,Юлия П.,5
muzey_lego_brick_star/184152802971/,Наталья Обухова,5
muzey_emotsiy/112406809523/,Татьяна,5
muzey_emotsiy/112406809523/,Хельга Рофименко,5
muzey_emotsiy/112406809523/,елена к.,4
muzey_emotsiy/112406809523/,Мерида Романенко,5
muzey_emotsiy/112406809523/,Наталья Тюрнева,5
muzey_emotsiy/112406809523/,Рита Зорина,5
muzey_emotsiy/112406809523/,Полина Круглова,4
muzey_emotsiy/112406809523/,Дмитрий С,5
muzey_emotsiy/112406809523/,Ольга Хочнер,5
muzey_emotsiy/112406809523/,Александра Кривелева,3
muzey_emotsiy/112406809523/,Алихан,4
muzey_emotsiy/112406809523/,Елена,5
muzey_emotsiy/112406809523/,Алена Б.,5
muzey_emotsiy/112406809523/,Марина,4
muzey_emotsiy/112406809523/,Ксения Рачкова,1
muzey_emotsiy/112406809523/,Нина Рябцева,5
muzey_emotsiy/112406809523/,Елена Гвоздик,5
muzey_emotsiy/112406809523/,Наталья Каюмова,4
muzey_emotsiy/112406809523/,Наталья И.,5
muzey_emotsiy/112406809523/,Zavr Bronto,5
muzey_emotsiy/112406809523/,Дмитрий Фельчинков,4
muzey_emotsiy/112406809523/,Екатерина,1
muzey_emotsiy/112406809523/,Анна А.,5
muzey_emotsiy/112406809523/,Анастасия Исаева,5
muzey_emotsiy/112406809523/,Наталия Татарина,5
muzey_emotsiy/112406809523/,Елена Р.,2
muzey_emotsiy/112406809523/,Larisa Savkova,5
muzey_emotsiy/112406809523/,Мари Мари,1
muzey_emotsiy/112406809523/,Mi Mi,5
muzey_emotsiy/112406809523/,Елена,4
muzey_emotsiy/112406809523/,Майя Шепс,5
muzey_emotsiy/112406809523/,Любовь Спирина,5
muzey_emotsiy/112406809523/,Олеся Шульгина,5
muzey_emotsiy/112406809523/,Наталья Бендзяк,5
muzey_emotsiy/112406809523/,Светлана В,5
muzey_emotsiy/112406809523/,Юлия Авдеева,5
muzey_emotsiy/112406809523/,Сергей С.,1
muzey_emotsiy/112406809523/,Записки опытного альпиниста,2
muzey_emotsiy/112406809523/,Инкогнито 2930,5
muzey_emotsiy/112406809523/,Наталья,3
muzey_emotsiy/112406809523/,Катерина И.,5
muzey_emotsiy/112406809523/,Julia Smolentseva,5
muzey_emotsiy/112406809523/,Marina Z.,2
muzey_emotsiy/112406809523/,Сэсэг,5
muzey_emotsiy/112406809523/,Елена Матвеева,5
muzey_emotsiy/112406809523/,Инкогнито 9534,5
muzey_emotsiy/112406809523/,Андрей Я,1
muzey_emotsiy/112406809523/,Настя Журавлёва,5
muzey_emotsiy/112406809523/,Филипп Каргин,5
muzey_emotsiy/112406809523/,Аксинья Таскаева,4
vekarta_klod_mone/110417681522/,Дарья,4
vekarta_klod_mone/110417681522/,Татьяна Зайцева,5
vekarta_klod_mone/110417681522/,Maria Lav,5
vekarta_klod_mone/110417681522/,Анастасия В.,5
vekarta_klod_mone/110417681522/,Леонид Терентьев,5
vekarta_klod_mone/110417681522/,Екатерина Мельник,5
vekarta_klod_mone/110417681522/,Татьяна Ордовская,5
vekarta_klod_mone/110417681522/,Алина,5
vekarta_klod_mone/110417681522/,Олег Архипов,5
vekarta_klod_mone/110417681522/,елена пучкова,5
vekarta_klod_mone/110417681522/,Андрей Базанов,5
vekarta_klod_mone/110417681522/,eva.m75,2
vekarta_klod_mone/110417681522/,Надежда Г.,5
vekarta_klod_mone/110417681522/,Елена Скресанова,5
vekarta_klod_mone/110417681522/,Ирина Хаазе,5
vekarta_klod_mone/110417681522/,Irina Afanasyeva,3
vekarta_klod_mone/110417681522/,Алёна Ш,5
vekarta_klod_mone/110417681522/,Анна Филенкова,3
vekarta_klod_mone/110417681522/,Kira,5
vekarta_klod_mone/110417681522/,Василиса Плотникова,1
vekarta_klod_mone/110417681522/,Мария Л.,3
vekarta_klod_mone/110417681522/,Мария Афанасьева,5
vekarta_klod_mone/110417681522/,Светлана,5
vekarta_klod_mone/110417681522/,Ekaterina Vygovskaya,5
vekarta_klod_mone/110417681522/,Елена В.,2
vekarta_klod_mone/110417681522/,Наталья Ковалева,5
vekarta_klod_mone/110417681522/,Екатерина Т.,5
vekarta_klod_mone/110417681522/,Надежда К.,1
vekarta_klod_mone/110417681522/,Людмила Коржевая,5
vekarta_klod_mone/110417681522/,Олег М,5
vekarta_klod_mone/110417681522/,Светлана К.,5
vekarta_klod_mone/110417681522/,Smirnova Anna,5
vekarta_klod_mone/110417681522/,Кронушка,5
