place,username,mark
surf_coffee_x_pi/88629883149/,Ксения Явецкая,5
surf_coffee_x_pi/88629883149/,Мария А.,5
surf_coffee_x_pi/88629883149/,ROSA CHAYNAYA,5
surf_coffee_x_pi/88629883149/,Мария Б.,5
surf_coffee_x_pi/88629883149/,София Векслер,5
surf_coffee_x_pi/88629883149/,Стася,5
surf_coffee_x_pi/88629883149/,Arbuzov-Matveev Andrey,4
surf_coffee_x_pi/88629883149/,Адель Шагиахметов,5
surf_coffee_x_pi/88629883149/,Серго Коршов,5
surf_coffee_x_pi/88629883149/,Сергей Власов,5
surf_coffee_x_pi/88629883149/,Амаду Тиам,5
surf_coffee_x_pi/88629883149/,Джейс Э.,5
surf_coffee_x_pi/88629883149/,ЕГ,5
surf_coffee_x_pi/88629883149/,Катюшенька У.,5
surf_coffee_x_pi/88629883149/,Олеся Д.,5
surf_coffee_x_pi/88629883149/,Фикус,5
surf_coffee_x_pi/88629883149/,Eirene,5
surf_coffee_x_pi/88629883149/,Alexandr Medvedev,5
surf_coffee_x_pi/88629883149/,Владимир Почашев,5
surf_coffee_x_pi/88629883149/,Александра Борзенкова,5
surf_coffee_x_pi/88629883149/,Аня Закирова,5
surf_coffee_x_pi/88629883149/,Полина Лобкова,5
surf_coffee_x_pi/88629883149/,Дмитрий Карамов,1
surf_coffee_x_pi/88629883149/,Лина Хасаева,5
surf_coffee_x_pi/88629883149/,Alen Meliksetov,5
surf_coffee_x_pi/88629883149/,Андрей Колганов,5
surf_coffee_x_pi/88629883149/,Анастасия Новикова,5
surf_coffee_x_pi/88629883149/,Виктория И.,5
surf_coffee_x_pi/88629883149/,Ден Мур,5
surf_coffee_x_pi/88629883149/,Виктория К.,3
surf_coffee_x_pi/88629883149/,Виталий Власов,5
surf_coffee_x_pi/88629883149/,Сергей Никишин,5
surf_coffee_x_pi/88629883149/,Максим Глушко,5
surf_coffee_x_pi/88629883149/,интеллигент на диване,5
surf_coffee_x_pi/88629883149/,Ivan Korshunov,5
surf_coffee_x_pi/88629883149/,Николай Боронин,4
surf_coffee_x_pi/88629883149/,Мария Н.,5
surf_coffee_x_pi/88629883149/,Анастасия Щукина,5
surf_coffee_x_pi/88629883149/,Alena Zhukova,5
surf_coffee_x_pi/88629883149/,Роман Роман,2
surf_coffee_x_pi/88629883149/,Вероника О.,5
surf_coffee_x_pi/88629883149/,Валерия Ерошевская,5
surf_coffee_x_pi/88629883149/,Марина Бушмакина,5
surf_coffee_x_pi/88629883149/,Лена Бон,5
surf_coffee_x_pi/88629883149/,tanya.sid,5
surf_coffee_x_pi/88629883149/,Sergey Bulatov,5
surf_coffee_x_pi/88629883149/,Ксения Артамонова,3
surf_coffee_x_pi/88629883149/,Вероника Р.,5
surf_coffee_x_pi/88629883149/,Наталья Б.,5
surf_coffee_x_pi/88629883149/,Маша,5
time_club_ubezhishche/1393681398/,Лена,4
time_club_ubezhishche/1393681398/,Дмитрий Курбатов,4
time_club_ubezhishche/1393681398/,Настя А.,5
time_club_ubezhishche/1393681398/,Ася,1
time_club_ubezhishche/1393681398/,катюша дрозд,5
time_club_ubezhishche/1393681398/,Алевтина Алексеевна,5
time_club_ubezhishche/1393681398/,Екатерина Бородина,5
time_club_ubezhishche/1393681398/,Егор Богданов,5
time_club_ubezhishche/1393681398/,enotoday,1
time_club_ubezhishche/1393681398/,Сергей П.,5
time_club_ubezhishche/1393681398/,Джамиль Зиганшин,4
time_club_ubezhishche/1393681398/,Полина Горячева,5
time_club_ubezhishche/1393681398/,алиса затевахина,1
time_club_ubezhishche/1393681398/,Маша Меркулова,5
time_club_ubezhishche/1393681398/,Артём,2
time_club_ubezhishche/1393681398/,Кирилл Червяков,5
time_club_ubezhishche/1393681398/,Яна Игнатьева,5
time_club_ubezhishche/1393681398/,Иван Ф.,5
time_club_ubezhishche/1393681398/,irlandskaja-tatyana,5
